ticker;nm_empresa;cnpj;setor_economico;subsetor;segmento;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral;nivel_atividade;empresa_porte;saude_tributaria;optante_simples;optante_simei
EUCA4, EUCA3;EUCATEX;56643018000166;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;1966-08-22;True;1621800,0;FABRICACAO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA PRENSADA E AGLOMERADA;BENS DE CONSUMO;INDUSTRIA;4543900,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
RANI3, RANI4;IRANI;92791243000103;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;1968-12-03;True;1710900,0;FABRICACAO DE CELULOSE E OUTRAS PASTAS PARA A FABRICACAO DE PAPEL;PAPEL E CELULOSE;INDUSTRIA;90480900,0;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA;ALTO;GRANDE;VERMELHO;False;False
KLBN11, KLBN3, KLBN4;KLABIN S/A;89637490000145;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;1978-12-06;True;1710900,0;FABRICACAO DE CELULOSE E OUTRAS PASTAS PARA A FABRICACAO DE PAPEL;PAPEL E CELULOSE;INDUSTRIA;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
MSPA3, MSPA4;MELHOR SP;60730348000166;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;1967-11-30;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;5051000,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
;SANTHER;;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;;;;;;;;;;;;;;;;;
NEMO3, NEMO5, NEMO6;SUZANO HOLD;60651809000105;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;1972-04-12;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;1452919,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERDE;False;False
SUZB3;SUZANO S.A.;16404287000155;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;1987-12-17;True;1710900,0;FABRICACAO DE CELULOSE E OUTRAS PASTAS PARA A FABRICACAO DE PAPEL;PAPEL E CELULOSE;INDUSTRIA;41810012,0;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA;ALTO;GRANDE;AMARELA;False;False
MTIG3, MTIG4;METAL IGUACU;80227184000166;MATERIAIS BÁSICOS;EMBALAGENS;EMBALAGENS;1951-12-06;True;2591800,0;FABRICACAO DE EMBALAGENS METALICAS;SIDERURGICA-METALURGIA;INDUSTRIA;84070040,0;PONTA GROSSA;PR;SUL;CENTRO ORIENTAL PARANAENSE;ATIVA;ALTO;GRANDE;CINZA;False;False
SNSY3, SNSY5, SNSY6;SANSUY;14807945000124;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS;MATERIAIS DIVERSOS;1979-10-03;True;1354500,0;FABRICACAO DE TECIDOS ESPECIAIS INCLUSIVE ARTEFATOS;TEXTEIS;INDUSTRIA;42816230,0;CAMACARI;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA;ALTO;GRANDE;CINZA;False;False
ETER3;ETERNIT;61092037000181;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;1973-04-27;True;2330303,0;FABRICACAO DE ARTEFATOS DE FIBROCIMENTO PARA USO NA CONSTRUCAO;QUIMICA-PETROQUIMICA;INDUSTRIA;5423040,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;AMARELA;False;False
