cnpj;optante_simples;optante_simei
24327612000151;TRUE;FALSE
24365549000148;FALSE;FALSE
24405116000179;FALSE;FALSE
24445860000105;TRUE;FALSE
24501384000194;FALSE;FALSE
24525330000169;TRUE;FALSE
24537328000100;FALSE;FALSE
24550835000183;FALSE;FALSE
24652295000149;TRUE;TRUE
24665939000133;TRUE;TRUE
24768786000150;TRUE;TRUE
24874375000149;TRUE;TRUE
24900624000123;TRUE;TRUE
24900830000133;TRUE;TRUE
24908951000121;TRUE;TRUE
24942397000107;TRUE;TRUE
24951521000192;TRUE;TRUE
25062770000190;TRUE;TRUE
25101406000191;TRUE;TRUE
25267254000100;TRUE;FALSE
25271410000106;TRUE;TRUE
25277531000157;FALSE;FALSE
25337210000109;TRUE;FALSE
25359110000175;TRUE;TRUE
25534627000153;TRUE;FALSE
25681947000136;FALSE;FALSE
26033728000103;TRUE;TRUE
26078564000130;TRUE;TRUE
26117255002176;;
26147855000133;TRUE;TRUE
26163591000101;FALSE;FALSE
26198843000138;TRUE;TRUE
26203670000107;TRUE;TRUE
26258522000181;TRUE;TRUE
26267372000172;TRUE;TRUE
26319778000151;TRUE;TRUE
26375585000118;FALSE;FALSE
26413147000105;TRUE;TRUE
26421427000157;TRUE;TRUE
26442031000196;FALSE;FALSE
26472532000115;TRUE;FALSE
26474744000131;FALSE;FALSE
26489370000128;TRUE;TRUE
26495602000150;TRUE;FALSE
26511762000146;TRUE;TRUE
26545757000235;;
26578673000117;TRUE;FALSE
26585884000187;TRUE;TRUE
26677034000109;TRUE;FALSE
26686777000145;TRUE;TRUE
26698524000191;FALSE;FALSE
26744659000146;TRUE;FALSE
26859766000110;TRUE;TRUE
26904863000187;TRUE;TRUE
26979554000176;TRUE;FALSE
27009301000132;TRUE;FALSE
27033634000105;TRUE;TRUE
27038048000145;TRUE;FALSE
27080808000182;TRUE;FALSE
27082822000115;TRUE;TRUE
27139298000171;TRUE;TRUE
27151353000149;TRUE;TRUE
27164746000197;TRUE;FALSE
27167403000186;FALSE;FALSE
27205817000152;FALSE;FALSE
27223582000121;TRUE;TRUE
27252486000101;TRUE;TRUE
27285912000103;TRUE;TRUE
27355258000167;FALSE;FALSE
27359745000106;TRUE;TRUE
27398823000173;TRUE;TRUE
27405911000155;TRUE;TRUE
27470069000135;TRUE;FALSE
27513690000139;TRUE;TRUE
27539751000137;TRUE;FALSE
27542156000150;FALSE;FALSE
27565880000108;TRUE;TRUE
27600290000160;FALSE;FALSE
27601055000103;TRUE;TRUE
27610762000166;TRUE;FALSE
27645901000197;TRUE;TRUE
27662366000182;TRUE;TRUE
27672439000117;FALSE;FALSE
27679718000102;TRUE;TRUE
27728826000128;TRUE;TRUE
27735633000102;FALSE;FALSE
27808046000198;TRUE;TRUE
27843674000104;TRUE;TRUE
27854024000164;TRUE;TRUE
27897149000171;FALSE;FALSE
27922822000186;TRUE;FALSE
27928798000192;TRUE;TRUE
27952836000142;TRUE;TRUE
28106267000187;FALSE;FALSE
28167662000170;TRUE;TRUE
28193840000137;TRUE;FALSE
28277024000101;TRUE;FALSE
28279202000133;TRUE;FALSE
28318338000296;;
28382603000114;TRUE;TRUE
28390628000160;TRUE;TRUE
28419352000103;TRUE;FALSE
28435370000251;FALSE;FALSE
28508910000107;TRUE;FALSE
28527449000121;FALSE;FALSE
28535512000171;TRUE;FALSE
28572297000189;TRUE;TRUE
28587433000104;TRUE;TRUE
28661345000105;TRUE;TRUE
28673126000227;;
28678234000101;TRUE;FALSE
28689728000191;TRUE;TRUE
28731394000177;TRUE;FALSE
28756538000140;TRUE;TRUE
28762286000161;TRUE;TRUE
28852331000179;TRUE;TRUE
28887331000104;TRUE;TRUE
28924416000115;TRUE;FALSE
28940246000162;TRUE;TRUE
28987607000126;TRUE;TRUE
29088445000157;FALSE;FALSE
29096067000153;TRUE;TRUE
29100634000106;TRUE;FALSE
29180947000103;FALSE;FALSE
29206677000162;TRUE;TRUE
29232603000109;TRUE;TRUE
29241082000148;FALSE;FALSE
29286662000151;TRUE;FALSE
29335864000146;TRUE;TRUE
29396932000349;;
29410202000193;TRUE;FALSE
29530710000105;TRUE;TRUE
29574783000107;TRUE;TRUE
29678780000105;FALSE;FALSE
29721844000103;TRUE;TRUE
29782945000194;TRUE;FALSE
29852104000106;TRUE;FALSE
29859266000176;TRUE;TRUE
29878298000119;TRUE;TRUE
29888430000173;TRUE;TRUE
29909872000159;TRUE;TRUE
29913391000117;TRUE;TRUE
29995914000111;TRUE;FALSE
29997526000170;TRUE;TRUE
30006797000103;TRUE;TRUE
30084870000157;TRUE;TRUE
30099073000143;TRUE;TRUE
30125363000114;FALSE;FALSE
30187803000168;TRUE;TRUE
30333717000116;TRUE;TRUE
30348102000163;TRUE;TRUE
30353933000123;FALSE;FALSE
30365048000164;TRUE;FALSE
30419735000115;TRUE;TRUE
30469240000109;TRUE;TRUE
30520149000162;TRUE;TRUE
30578280000180;FALSE;FALSE
30603601000150;TRUE;TRUE
30694172000173;TRUE;FALSE
30704851000186;TRUE;TRUE
30762570000180;TRUE;TRUE
30782932000102;TRUE;FALSE
30840727000148;TRUE;FALSE
30846478000106;TRUE;TRUE
30850228000131;TRUE;TRUE
30887531000109;TRUE;FALSE
30904950000292;;
30981939000145;TRUE;TRUE
30993511000112;TRUE;TRUE
31011671000181;TRUE;FALSE
31059218000145;TRUE;TRUE
31073279000167;TRUE;TRUE
31076044000129;TRUE;TRUE
31078085000154;TRUE;TRUE
31173151000175;TRUE;TRUE
31196344000141;TRUE;TRUE
31207206000110;FALSE;FALSE
31210896000167;TRUE;TRUE
31291215000132;FALSE;FALSE
31325341000160;FALSE;FALSE
31331372000124;FALSE;FALSE
31342945000115;TRUE;FALSE
31443330000185;TRUE;TRUE
31468736000112;TRUE;TRUE
31495322000182;TRUE;TRUE
31607703000106;TRUE;TRUE
31678415000142;TRUE;TRUE
31679468000188;TRUE;TRUE
31688437000193;TRUE;FALSE
31704495000163;TRUE;TRUE
31707502000180;TRUE;TRUE
31726624000114;FALSE;FALSE
31747165000155;FALSE;FALSE
31852638000184;FALSE;FALSE
31858578000107;TRUE;TRUE
31909364000112;TRUE;FALSE
31922519000150;TRUE;FALSE
31939974000169;TRUE;TRUE
31957017000165;TRUE;TRUE
31967515000199;TRUE;TRUE
31991099000164;TRUE;FALSE
32013129000120;TRUE;FALSE
32032626000176;TRUE;TRUE
32038687000140;TRUE;TRUE
32040285000180;TRUE;TRUE
32116825000162;TRUE;TRUE
32141669000190;FALSE;FALSE
32160144000100;TRUE;TRUE
32255271000184;TRUE;FALSE
32332503000150;TRUE;TRUE
32384664000198;TRUE;TRUE
32388708000158;TRUE;TRUE
32426879000124;TRUE;TRUE
32444596000105;TRUE;TRUE
32475224000146;TRUE;TRUE
32476604000103;TRUE;FALSE
32512744000181;TRUE;TRUE
32521631000142;TRUE;TRUE
32570753000129;TRUE;TRUE
32600673000179;FALSE;FALSE
32641079000126;TRUE;TRUE
32695928000124;TRUE;TRUE
32795582000136;TRUE;FALSE
32821123000180;TRUE;TRUE
32873167000153;TRUE;TRUE
32894788000113;TRUE;TRUE
32907843000162;TRUE;FALSE
32982596000169;TRUE;TRUE
33012386000100;TRUE;FALSE
33018720000133;TRUE;TRUE
33035536000100;FALSE;FALSE
33040601000187;FALSE;FALSE
33045076000192;TRUE;TRUE
33047285000175;TRUE;TRUE
33051579000170;TRUE;TRUE
33071847000388;FALSE;FALSE
33094278000124;TRUE;TRUE
33163090000190;TRUE;TRUE
33164021010679;FALSE;FALSE
33203581000118;TRUE;FALSE
33232730000177;TRUE;TRUE
33234152000108;TRUE;TRUE
33252434000138;TRUE;TRUE
33381286005706;FALSE;FALSE
33384549000186;TRUE;TRUE
33422158000109;TRUE;TRUE
33438545000133;TRUE;TRUE
33470230000173;FALSE;FALSE
33498934000154;TRUE;FALSE
33500325000192;TRUE;FALSE
33525358001240;;
33592510000154;FALSE;FALSE
33592770000120;TRUE;TRUE
33649878000101;TRUE;FALSE
33679182000128;TRUE;TRUE
33698290000148;FALSE;FALSE
33720484000100;TRUE;TRUE
33722001000107;TRUE;FALSE
33725169000168;TRUE;FALSE
33736092000121;TRUE;FALSE
33744722000100;TRUE;FALSE
33801486000116;TRUE;TRUE
